FileName	Predicted Class
eval1.tif	3
eval2.tif	7
eval3.tif	9
eval4.tif	5
eval5.tif	4
eval6.tif	9
eval7.tif	9
eval8.tif	0
eval9.tif	8
eval10.tif	6
eval11.tif	8
eval12.tif	9
eval13.tif	3
eval14.tif	7
eval15.tif	6
eval16.tif	5
eval17.tif	1
eval18.tif	8
eval19.tif	7
eval20.tif	7
eval21.tif	3
eval22.tif	6
eval23.tif	9
eval24.tif	1
eval25.tif	0
eval26.tif	5
eval27.tif	0
eval28.tif	3
eval29.tif	5
eval30.tif	5
eval31.tif	7
eval32.tif	6
eval33.tif	3
eval34.tif	4
eval35.tif	9
eval36.tif	8
eval37.tif	7
eval38.tif	6
eval39.tif	2
eval40.tif	5
eval41.tif	3
eval42.tif	1
eval43.tif	9
eval44.tif	6
eval45.tif	0
eval46.tif	2
eval47.tif	6
eval48.tif	4
eval49.tif	4
eval50.tif	8
eval51.tif	3
eval52.tif	6
eval53.tif	0
eval54.tif	1
eval55.tif	7
eval56.tif	6
eval57.tif	5
eval58.tif	1
eval59.tif	0
eval60.tif	7
eval61.tif	4
eval62.tif	8
eval63.tif	6
eval64.tif	1
eval65.tif	3
eval66.tif	7
eval67.tif	2
eval68.tif	9
eval69.tif	6
eval70.tif	0
eval71.tif	3
eval72.tif	8
eval73.tif	8
eval74.tif	9
eval75.tif	2
eval76.tif	2
eval77.tif	8
eval78.tif	9
eval79.tif	6
eval80.tif	7
eval81.tif	0
eval82.tif	3
eval83.tif	3
eval84.tif	0
eval85.tif	9
eval86.tif	4
eval87.tif	9
eval88.tif	1
eval89.tif	9
eval90.tif	3
eval91.tif	9
eval92.tif	5
eval93.tif	3
eval94.tif	4
eval95.tif	4
eval96.tif	1
eval97.tif	4
eval98.tif	3
eval99.tif	1
eval100.tif	7
eval101.tif	3
eval102.tif	9
eval103.tif	9
eval104.tif	4
eval105.tif	5
eval106.tif	6
eval107.tif	8
eval108.tif	0
eval109.tif	1
eval110.tif	6
eval111.tif	9
eval112.tif	7
eval113.tif	5
eval114.tif	8
eval115.tif	0
eval116.tif	2
eval117.tif	1
eval118.tif	0
eval119.tif	3
eval120.tif	4
eval121.tif	4
eval122.tif	3
eval123.tif	9
eval124.tif	0
eval125.tif	0
eval126.tif	5
eval127.tif	5
eval128.tif	7
eval129.tif	8
eval130.tif	7
eval131.tif	9
eval132.tif	1
eval133.tif	6
eval134.tif	0
eval135.tif	4
eval136.tif	0
eval137.tif	6
eval138.tif	4
eval139.tif	2
eval140.tif	4
eval141.tif	5
eval142.tif	2
eval143.tif	9
eval144.tif	8
eval145.tif	3
eval146.tif	0
eval147.tif	5
eval148.tif	0
eval149.tif	4
eval150.tif	1
eval151.tif	4
eval152.tif	4
eval153.tif	7
eval154.tif	0
eval155.tif	3
eval156.tif	4
eval157.tif	6
eval158.tif	7
eval159.tif	3
eval160.tif	0
eval161.tif	8
eval162.tif	1
eval163.tif	1
eval164.tif	0
eval165.tif	2
eval166.tif	2
eval167.tif	0
eval168.tif	8
eval169.tif	4
eval170.tif	2
eval171.tif	8
eval172.tif	5
eval173.tif	3
eval174.tif	9
eval175.tif	0
eval176.tif	4
eval177.tif	6
eval178.tif	9
eval179.tif	2
eval180.tif	2
eval181.tif	4
eval182.tif	1
eval183.tif	4
eval184.tif	2
eval185.tif	1
eval186.tif	6
eval187.tif	5
eval188.tif	8
eval189.tif	8
eval190.tif	6
eval191.tif	4
eval192.tif	4
eval193.tif	0
eval194.tif	4
eval195.tif	2
eval196.tif	3
eval197.tif	6
eval198.tif	7
eval199.tif	4
eval200.tif	8
eval201.tif	0
eval202.tif	4
eval203.tif	8
eval204.tif	4
eval205.tif	5
eval206.tif	9
eval207.tif	9
eval208.tif	7
eval209.tif	3
eval210.tif	2
eval211.tif	0
eval212.tif	8
eval213.tif	6
eval214.tif	6
eval215.tif	7
eval216.tif	4
eval217.tif	3
eval218.tif	8
eval219.tif	9
eval220.tif	3
eval221.tif	8
eval222.tif	0
eval223.tif	9
eval224.tif	8
eval225.tif	8
eval226.tif	9
eval227.tif	0
eval228.tif	5
eval229.tif	7
eval230.tif	1
eval231.tif	4
eval232.tif	1
eval233.tif	9
eval234.tif	3
eval235.tif	1
eval236.tif	8
eval237.tif	1
eval238.tif	1
eval239.tif	3
eval240.tif	7
eval241.tif	4
eval242.tif	6
eval243.tif	7
eval244.tif	4
eval245.tif	7
eval246.tif	1
eval247.tif	5
eval248.tif	4
eval249.tif	6
eval250.tif	3
eval251.tif	6
eval252.tif	1
eval253.tif	0
eval254.tif	0
eval255.tif	7
eval256.tif	3
eval257.tif	5
eval258.tif	4
eval259.tif	9
eval260.tif	1
eval261.tif	4
eval262.tif	0
eval263.tif	0
eval264.tif	7
eval265.tif	4
eval266.tif	7
eval267.tif	4
eval268.tif	2
eval269.tif	6
eval270.tif	7
eval271.tif	2
eval272.tif	1
eval273.tif	6
eval274.tif	9
eval275.tif	1
eval276.tif	3
eval277.tif	5
eval278.tif	4
eval279.tif	2
eval280.tif	8
eval281.tif	4
eval282.tif	9
eval283.tif	0
eval284.tif	3
eval285.tif	3
eval286.tif	2
eval287.tif	0
eval288.tif	2
eval289.tif	8
eval290.tif	1
eval291.tif	5
eval292.tif	0
eval293.tif	6
eval294.tif	1
eval295.tif	7
eval296.tif	4
eval297.tif	8
eval298.tif	5
eval299.tif	3
eval300.tif	2
eval301.tif	2
eval302.tif	3
eval303.tif	5
eval304.tif	2
eval305.tif	0
eval306.tif	9
eval307.tif	0
eval308.tif	5
eval309.tif	3
eval310.tif	6
eval311.tif	1
eval312.tif	1
eval313.tif	5
eval314.tif	4
eval315.tif	5
eval316.tif	3
eval317.tif	4
eval318.tif	2
eval319.tif	0
eval320.tif	3
eval321.tif	1
eval322.tif	7
eval323.tif	4
eval324.tif	9
eval325.tif	6
eval326.tif	7
eval327.tif	2
eval328.tif	6
eval329.tif	3
eval330.tif	0
eval331.tif	6
eval332.tif	0
eval333.tif	6
eval334.tif	5
eval335.tif	4
eval336.tif	8
eval337.tif	6
eval338.tif	2
eval339.tif	1
eval340.tif	0
eval341.tif	8
eval342.tif	0
eval343.tif	6
eval344.tif	9
eval345.tif	8
eval346.tif	3
eval347.tif	4
eval348.tif	1
eval349.tif	3
eval350.tif	0
eval351.tif	4
eval352.tif	3
eval353.tif	0
eval354.tif	7
eval355.tif	8
eval356.tif	6
eval357.tif	6
eval358.tif	3
eval359.tif	8
eval360.tif	3
eval361.tif	9
eval362.tif	8
eval363.tif	5
eval364.tif	0
eval365.tif	8
eval366.tif	2
eval367.tif	5
eval368.tif	9
eval369.tif	6
eval370.tif	3
eval371.tif	4
eval372.tif	8
eval373.tif	1
eval374.tif	6
eval375.tif	3
eval376.tif	7
eval377.tif	4
eval378.tif	1
eval379.tif	5
eval380.tif	3
eval381.tif	4
eval382.tif	8
eval383.tif	3
eval384.tif	9
eval385.tif	9
eval386.tif	0
eval387.tif	3
eval388.tif	6
eval389.tif	5
eval390.tif	4
eval391.tif	1
eval392.tif	3
eval393.tif	6
eval394.tif	5
eval395.tif	9
eval396.tif	7
eval397.tif	9
eval398.tif	6
eval399.tif	1
eval400.tif	4
eval401.tif	7
eval402.tif	0
eval403.tif	4
eval404.tif	3
eval405.tif	8
eval406.tif	4
eval407.tif	3
eval408.tif	2
eval409.tif	8
eval410.tif	3
eval411.tif	4
eval412.tif	3
eval413.tif	9
eval414.tif	9
eval415.tif	9
eval416.tif	0
eval417.tif	3
eval418.tif	5
eval419.tif	7
eval420.tif	2
eval421.tif	8
eval422.tif	4
eval423.tif	0
eval424.tif	5
eval425.tif	4
eval426.tif	8
eval427.tif	5
eval428.tif	1
eval429.tif	7
eval430.tif	3
eval431.tif	0
eval432.tif	5
eval433.tif	8
eval434.tif	9
eval435.tif	6
eval436.tif	3
eval437.tif	7
eval438.tif	3
eval439.tif	4
eval440.tif	2
eval441.tif	3
eval442.tif	9
eval443.tif	3
eval444.tif	5
eval445.tif	6
eval446.tif	4
eval447.tif	6
eval448.tif	5
eval449.tif	9
eval450.tif	2
eval451.tif	7
eval452.tif	3
eval453.tif	8
eval454.tif	9
eval455.tif	8
eval456.tif	5
eval457.tif	3
eval458.tif	0
eval459.tif	0
eval460.tif	5
eval461.tif	4
